job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,label
12899.0,account executive,"GB, LND, London",Client Services,0-0,it s not about what brands say it s what they do that matters people are no longer satisfied with simply hearing a brand s message now it s the actual experiences we have with a brand that define its relevance ûóemotionally socially and when it s time to buy that s why momentum worldwide helps brands imagine create curate and manage their total brand experience åêfrom the screens you watch to the registers you pay at to your facebook to your actual conversations to the concerts you go to we put brands there in a way that ûªs different and entertaining we integrate sponsorship shopper design technology social promotions pr digital and entertainment and more ûò in a total brand experience for the modern consumer åêquite simply our job is to help brands flourish ûò and we do this as one global agency within the ipg family of agencies with more than 30 offices around the world ûò all of us working together eager to invent challenge the norm and set the world on fire åêto make that possible we hire people who are ravenous for ingenuity and impatient with the status quo we like good people and we like really thrilling people when those two things come together it ûªs a talent experience for the books the biggest asset we have is our talent and we take that seriously åêpart of the ipg agency network we have over 30 offices on six continents with more than 2 000 amazingly talented people in our family working together and it ûªs kind of awesome to be a part of a company working with some incredible brands including american express coca cola mondelez microsoft walmart william grant amp sons and more åêwhy not join us you could be a member of a growing team of people who love to imagine concept create sculpt sing emote and dream in the interests of our clients and communities we think it ûªs a special kind of calling you should answer,momentum is seeking an account executive to join a team responsible for the development and management of a uk and international partnership programme for one of our biggest clients globally this position is focused on managing and supporting across a range of partnerships which provide benefits and experiences for customers in the areas they are passionate about primarily music film fashion arts and culture the account executive we are looking for will be a strong and committed individual capable of activating and developing a number of partnerships in live entertainment and contributing to the overall success of the programme an ability to build positive relationships based on strong communication skills is essential,å åêåêåêåêåêåêåêåêåêåê a genuine passion for entertainment and live events is a must for this role and experience across music film or theatre is preferred å åêåêåêåêåêåêåêåêåêåê agency experienceå åêåêåêåêåêåêåêåêåêåê excellent client management skills and experienceå åêåêåêåêåêåêåêåêåêåê proactive diligent and driven individualå åêåêåêåêåêåêåêåêåêåê computer and presentation skills including excel and powerpointå åêåêåêåêåêåêåêåêåêåê exceptional eye for detail and organisational skillså åêåêåêåêåêåêåêåêåêåê strong numerical skills,it s not about what brands say it s what they do that matters people are no longer satisfied with simply hearing a brand s message now it s the actual experiences we have with a brand that define its relevance ûóemotionally socially and when it s time to buy that s why momentum worldwide helps brands imagine create curate and manage their total brand experience from the screens you watch to the registers you pay at to your facebook to your actual conversations to the concerts you go to we put brands there in a way that ûªs different and entertaining we integrate sponsorship shopper design technology social promotions pr digital and entertainment and more ûò in a total brand experience for the modern consumer quite simply our job is to help brands flourish ûò and we do this as one global agency within the ipg family of agencies with more than 30 offices around the world ûò all of us working together eager to invent challenge the norm and set the world on fire to make that possible we hire people who are ravenous for ingenuity and impatient with the status quo we like good people and we like really thrilling people when those two things come together it ûªs a talent experience for the books the biggest asset we have is our talent and we take that seriously åêpart of the ipg agency network we have over 30 offices on six continents with more than 2 000 amazingly talented people in our family working together and it ûªs kind of awesome to be a part of a company working with some incredible brands including american express coca cola mondelez microsoft walmart william grant amp sons and more åêwhy not join us you could be a member of a growing team of people who love to imagine concept create sculpt sing emote and dream in the interests of our clients and communities we think it ûªs a special kind of calling you should answer,0.0,1.0,0.0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0
103.0,marketing administrator,"GB, WAR, Coventry",Marketplace,15000-18000,renewable energy and environmental protection equipment,the job is to support the growth of the url_9f35c886234b8e939f5403fd12ad24821ba485aee59d1581c7a35be587faa504 marketplace project this will involve liaison with vendors administration of the website liaison with the website designers interfacing between accounts and clients and generally troubleshooting the various systems involved in running an internetåêmarketplace the successful candidate will be someone who is interesting in marketing and would like to grow into a bigger role within the company,computer literateable to work with html although coding skills not a requirementsuitably qualifiedenthusiastic and imaginative,for a suitably motivated and success orientated person there is the possibility to work from where ever is convenient,1.0,1.0,0.0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0
9504.0,applications engineer,"NZ, N, Auckland",Engineering,90000-120000,powerbyproxi and its customers are leading a revolution to deliver unplugged power åêwe have changed the way electricity is delivered in hostile industrial environments we are now also developing wireless charging technology for consumer electronics and have an impressive portfolio of clients consisting of electronics heavyweights from around the world åêpowerbyproxi was spun out of the university of auckland in 2007 to commercialize cutting edge research undertaken by its internationally acclaimed scientists and engineers åêas a pioneer in the design and development of turnkey wireless power solutions powerbyproxi eliminates the need for a physical or frictional power connection åêwe provide our customers with unplugged solutions that solve continuity of delivery and maintenance pain points create unique competitive advantages deliver significant cost savings and secure product design wins,powerbyproxi is one of nz s more promising high tech companies and a leader in developing wireless power technology together with our customers we are leading a global revolution in delivering unplugged power for both consumer and industrial applications spun out of research at the university of auckland in 2006 powerbyproxi to date holds the most comprehensive portfolio of patents in inductive power transfer ipt our company continues to see exponential growth and gain in market share with global partnerships and alliances with multinational conglomerates åêwe are now recruiting for a few newly created positions of application engineer ae for both our consumer and industrial teams based out of our auckland headquarters the applications engineer position has client facing accountabilities for providing support for pre sales and post sales to our business development and sales team åê the aes will provide technical expertise in creating demand for powerbyproxi products qualifying prospects achieving design wins and on going support to existing customers throughout their product life cycles job description responsibilitiesmeet with customers to understand requirements and translate into technical specs for the engineering organization to understand design criteria for product implementation facilitate discussions between customers and engineering design teamssupport the business development and sales team with technical proposals and statement of work including technical specifications testing and certification demands milestones schedules and nre feesauthor technical product briefs applications papers and value proposition briefs success to support customer applications and future sale support materialsassist customer to test evaluation units or proof of concept poc åêdesigns to validate how they will meet customer needssupport prospects and customers to evaluate and qualify powerbyproxi technology and solutionsprovide off site and on site technical assistance as required on a world wide basis active participation in internal design reviews to represent the voice of the customerparticipation in technical societies and associations that will support integration of proxi technologies into various industrial vertical markets åê,key skillsdomain knowledge of power electronics industrial automation and machine control systems and the ability to transfer this rapidly to a full understanding of wireless power transfer solutionsability to quickly analyse and understand the dynamics of a consumer or industrial application glean critical performance and application needs of the customer visualize potential solutions implementation methods and translate this to a specification for both engineering teams and customer teamstechnical skills to understand electrical requirements limitations and ûïwhat is feasible û for various power levels from mw for rechargeable batteries in hand held devices to kw for high power solutions like wind turbines or off shore oil gas ability to read power electrical schematics mechanical design documents like cad and integration possibilities for the two to device customer solutions domain knowledge of wireless power safety and regulatory requirements as well as test procedures to insure compliancecompetitive understanding of alternative power wireless power solution to promote powerbyproxi advantagesexperience in analysing technical issues and engaging engineering to resolve themexcellent problem solving skills to achieve customer confidence and satisfactionfamiliar with pcb and electrical circuit design cad packages eagle cad and altium designerexperience and educationtertiary qualifications with a preference for bachelor ûªs in electrical engineeringminimum of 5 years ûª experience with power electronics and or process control and automation in industrial or consumer electronics environments on mission critical applicationsminimum of 5 years ûª experience with project management primary responsibility working on power systems including designing and or installing new or upgraded electrical automation åêtechnology on oem products or currently installed systemsminimum of 3 years ûª experience as an application engineer supporting customer interface and technical interface to internal engineering development teams,if you are a power electronics design engineer looking to develop your career into client facing roles this is an excellent opportunity for you to join a global leader that is on a growth trajectory our culture is collegial results driven and rewards for high performance åêoverseas candidates are welcome to apply but must have at least 6 8 years relevant power electronics experience åê,0.0,1.0,1.0,Full-time,Mid-Senior level,Bachelor's Degree,Electrical/Electronic Manufacturing,Engineering,0
1031.0,brand content marketer,"FR, J, Paris",Marketing,0-0,mailjet is a market leading email service provider with over 25 000 clients and rapidly expanding across europe and abroad due to its innovative approach in offering speed deliverability and insight to sending emails through an unparalleled user experience and åêcomprehensive set of apis we currently have offices in france uk germany belgium spain and canada and are looking for the next wave of business and technical talent to accelerate our expansion and reach our aggressive goals we are currently hiring for the following positions based out of our headquarters in the heart of paris and abroad if you think you have what it takes to be a part of a fast moving and dynamic team contact us today,we re looking for a passionate amp hungry brand content marketer to join our hq team in paris and be integral part of the marketing team the team ûªs goal is to grow self service sales by providing top notch content in plenty of relevant places you ûªll have the opportunity to impact the execution of our marketing strategy and we expect your creative and analytical mind to contribute from content creation social media management pr agency monitoring to online acquisition and in person evangelism you are accountable for every english written content related to mailjet we are looking for an english nativespeaker you are also in charge of developing our marketing efforts in the uk åêvia remote and regular trips to london writing is your hobby and passion and you learn fast due to your natural curiosity we re looking for a hyperactive marketer but someone that also likes to have fun and share a smile responsibilitiesregularly produce and distribute compelling content you ûªll create sharable blog posts infographics white papers case studies and guides that our customers and the web need don ûªt worry our marvelous tech team will provide you with the input you need be the voice on social media twitter facebook linkedin etc get the word out about cool stuff we ûªre working on engage with customers and monitor mentionsenergize mailjet s irl presence by attending organizing sponsoring tech and e marketing events in france and in the uk and by collaborating with blogs and online magazinesdive into acquisition amp campaign data provide actionable insight and identify growth opportunitiescoordinate with our local pr agency to promote the mailjet brand,requirementsnative english speaker living in parisyou love to consume and create content in a limited time you ûªve lived a breathed content marketing and know its value you are complimented on your writing skills by your peerscomfortable and confident on social media we ûªll need you to leverage those skills to engage our communityanalytical and data driven because if you ûªre not measuring you ûªre not marketingentrepreneurial self motivated and an ability to prioritize effectively you ûªre expected to hustle and be a problem solver we won ûªt be looking over your shoulderflexibility to occasionally travel and attend events as neededgeeky amp curious nature you like talking tech and excited to learn fast about new thingsthe socializing type it s a pleasure to work with youfilled with energy bonus points a previous experience in inbound marketing or brand marketingany experience regarding newsletters emailinghave design experience great photoshop amp indesigngot front end dev skills double great html css javascriptwritten and or verbal fluency in multiple languagesprior startup experience either your own or elsewhereif you aready have a french work permit it would be a big cherry on this cake,early stage hand s on learning and amazing career potential as a direct report to the chief marketing officer you will have an amazing opportunity to both learn and be implicated in progressive online marketing strategy and techniques the ability to plunge yourself in the life of a fast moving start up that is growing quickly across the globe to contribute directly to the development of a rapidly expanding organization and learn a ton from successful veteran entrepreneurs status salary highly motivating with strong incentives on performance,0.0,1.0,1.0,Full-time,Associate,Master's Degree,Internet,Marketing,0
13787.0,business analyst,"NZ, N, Auckland",PSG,75000-90000,healthlink provides a computer communications system that links the information technology systems of more than 10 000 medical organisations across australia new zealand the pacific island nations and canada åêåê each year more than 70 million pieces of clinical information are exchanged using the healthlink system åê healthlink provides nearly all of the clinical communications used in new zealand and is the largest provider of clinical messaging services in australia åê healthlink came into existence in 1993 as a result of the new zealand government ûªs health reforms and the company has been developing systems and services that facilitate exchange of clinical information since that time åê healthlink has offices throughout australia new zealand and canada åê the company ûªs services are offeredåê from data centres in each of those countries the company ûªs core focus is on ensuring that electronic communication processes are put in place to give patients certainty that their information has been appropriately handled åê this is achieved by ensuring that the systems are 100 reliable and secure åê we enable the electronic delivery of pathology and radiology results and discharge summaries åê healthlink also provides a large managed security infrastructure and is a pioneer in the development of û cloud based ûª online forms technology that is used for ordering pathology services and for referring patients to hospitals and other secondary care services,healthlink limited is a market leader in the provision of services and applications that securely connect and integrate the new zealand and australian health sector åê we have a strong product base and a proven track record which has been well documented in international studies åêto be successful in this role you will need to embrace a challenging changing environment the role involves but is not limited to facilitation and documentation of technical and business stakeholder requirements to achieve fit for purpose software development writing functional and non function specification documentsusecase business process documentationinvolvement with developing product roadmaps,as a business analyst within a high performing team the attributes you display will be excellent process and organizational skills and the ability to accept the challenge to make things happenexcellent verbal and written communication skillsability to interact and build strong working relationships within our team withåêinternal team members e g software development it services customer serviceåêcentre and external partnersexperience performing business analysis activities unaided in a software development environmentstrong technical and functional competencies for analysing and documenting requirements on our business critical solutions åêideally you will have a tertiary education as well as a minimum of five years business analyst experience in a software development environment an understanding of the health sector would be advantageous,benefits of working with us include stimulating environment with high performance expectationsstructured career developmentcompetitive remunerationflexible working hoursmodern head office in newmarket aucklanda chance to dramatically influence health outcomesåê,0.0,1.0,1.0,Full-time,Not Applicable,Bachelor's Degree,Information Technology and Services,Business Analyst,0
15206.0,lead developer architect blipbuilder augmented reality saas,"US, NY, New York",Engineering,80000-120000,as augmented reality jobs go one at blippar is hard to beat we are a rapidly expandingåêcreative startup at the forefront of a brand new industry so working here offers realåêopportunities to shape an innovative technology and the way in which people use it because of this we like working with imaginative people who think outside the box and weåêlove people who throw the whole box away and build something completely new åêour bright open centrally located offices are energetic environments bursting withåêcollaborative ideas and boundless enthusiasm aside from being part of an exciting driven super friendly team that will nurture your talentsåêand help you grow at blippar you ûªll find plenty more tangible benefits including weekly freeåêlunches evening drinks and olive the office dog you ûªll also be working intimately from the start with some of the world ûªs biggest brands åêfrom coca cola and nestle to conde nast p amp g and jaguar as a young growing company spearheading the exciting augmented reality industry theåêbiggest perk of all is the creative control you ûªll be afforded whether you ûªre part of the design åêtech commercial or marketing teams åêafter all we think our people are amazing so we want them to stick around,we are looking for a sensational lead developer technical architect to take blippar ûªs diy augmented reality platform blippbuilder to the next level working closely with the product manager and cto you will build an exciting product roadmap for our game changing self serve tool identifying the best technical solutions and inspiring blippar ûªs technical development team to build an awesome product our clients will love you will be an excellent hands on developer a great communicator an inspirational team leader and someone who is unfailingly passionate about all projects on which they work as part of a small dynamic team you will guide and mentor its existing members while helping to identify new resources needed for our platform ûªs successful growth in addition you will be required to support daily project management activities helping to plan prioritise and estimate the timeframe of work needed from early concept through to delivery åêyou will be blippbuilder ûªs go to developer and your impact upon the product the team and the future of augmented reality itself will be enormous,ideally you will have experience working on saas and self serve platforms excellent problem solving abilities exceptional coding skills in a number of languages and an innate passion for augmented reality and the possibilities the ground breaking technology offers successful candidates will be terrific full stack developers well versed in a range of front and back end technologies not restricted to but including php flash flex python html javascript skilled communicators able to manage relationships with business stakeholders product managers design teams and tech developers able to communicate complex technical ideas in a straightforward way able to form and maintain good relationships with managers and colleagues knowledgeable about all the latest technologies and applications pragmatic decision makers clued up on usability ux design principles and the importance of integrating them into the final solution experienced managing project delivery using agile project management methodologies experienced leading a team of developers across multiple locations åêknowledgeable about saas and self serve platforms,our bright open centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm as a growing company spearheading the exciting augmented reality industry the biggest perk of all is the creative freedom and control you ûªll be afforded this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it you will be working closely and from the start with some of the world ûªs leading brands media agencies publishers and educators including pepsi warner brothers procter amp gamble conde nast disney and coca cola developing creative augmented reality solutions for global powerhouses across the full spectrum of industries what we are doing has never been done before so an active imagination is something we value particularly highly blippar ûªs senior management team are dedicated hands on approachable people who will nurture your talent and encourage the development of your own ideas we believe these are key to the continued success story of our platform being part of blippar ûªs close knit passionate forward thinking team affords plenty of potential for learning about and getting involved in all sections of the business as a creative tech company offering spectacular marketing solutions to clients there are few areas we don ûªt touch upon life at blippar is a steep learning curve ideal for ambitious candidates who wish to push themselves into completely uncharted territories we also offer competitive packagesgreat benefits and shares scheme4 weeks paid holidayemployee incentive schemeflexible working environmentweekly beers and free lunchesinternational travel opportunitieschance to develop groundbreaking techwork with state of the art hardware and softwareaccess to new wearables including google glassa challenge to change the worldchance to shape a new industrycreative freedom and controlexperience with all mobile operating systemscollaborative opportunities with huge brandsplease apply now for more information about this role or check our careers page for details of other opportunities to work with us,0.0,1.0,0.0,Full-time,Mid-Senior level,Unspecified,Computer Software,Engineering,0
9264.0,ic e technician,"US, CA, Bakersfield, CA / Mt. Poso",Oil & Energy,95000-115000,dte energy and refined resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model åê our focus is to help develop and achieve your career goals while makeing a solid geographical cultural and professional fiit when leveraging your career into your new and exciting professional venture please direct all communications to the hr department within refined resources url_6b0698363fde57bd5a6c6b798c5c1b90d1f5621a72f8c41b26274e07d881ccdd email_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3 darren lawson vp of recruiting email_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c åê phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1,qualified candidates are encouraged to apply directly to this job posting åêdirect email and phone calls are not being considered thank you for your cooperation åêplease no recruiters ic amp e technician bakersfield ca mt posoprincipal duties and responsibilities åêcalibrates tests maintains troubleshoots and installs all power plant instrumentation control systems and electrical equipment performs maintenance on motor control centers motor operated valves generators excitation equipment and motors performs preventive predictive and corrective maintenance on equipment coordinating work with various team members designs and installs new equipment and or system modifications troubleshoots and performs maintenance on dc backup power equipment process controls programmable logic controls plc and emission monitoring equipment uses maintenance reporting system to record time and material use problem identified and corrected and further action required provides complete history of maintenance on equipment schedule coordinate work with and monitor contractors on specific tasks as required follows safe working practices at all times identifies safety hazards and recommends solutions follows environmental compliance work practices identifies environmental non compliance problems and assist in implementing solutions assists other team members and works with all departments to support generating station in achieving their performance goals trains other team members in the areas of instrumentation control and electrical systems performs housekeeping assignments as directed conduct equipment and system tagging according to company and plant rules and regulations perform equipment safety inspections as required and record results as appropriate åêparticipate in small construction projects åê read and interpret drawings sketches prints and specifications as required orders parts as needed to affect maintenance and repair performs operations tasks on an as needed basis and other tasks as assigned available within a reasonable response time for emergency call ins and overtime plus provide acceptable off hour contact by phone and company pager åêåêåêåêåêåêåêåêåê excellent verbal and written communications skills ability to coordinate work activities with other team members on technical subjects across job families ability to work weekends holidays and rotating shifts as required åê,knowledge skills amp abilities a high school diploma or ged is required must have a valid driver ûªs license ability to read write and communicate effectively in english åêåêgood math skills åêfour years of experience as an i amp c technician and or electrician in a power plant environment preferably with a strong electrical background up to and including voltages to 15 kv to provide the following demonstrated knowledge of electrical equipment electronics schematics basics of chemistry and physics and controls and instrumentation demonstrated knowledge of safe work practices associated with a power plant environment demonstrated ability to calibrate i amp c systems and equipment including analytic equipment demonstrated ability to configure and operate various test instruments and equipment as necessary to troubleshoot and repair plant equipment including but not limited to distributed control systems programmable logic controllers motor control centers transformers generators and continuous emissions monitor cem systems demonstrated ability to work with others in a team environment åê,what is offered competitive compensation package100 matched retirement fundannual vacations paid for by companysignificant bonus structureopportunity for advancementåêfull benefits packageannual performance reviews and base salary increasesannual cost of living increasesåêsound clean safe and enjoyable working environment amp company cultureworld renowned management and executive team who promote from within leverage careers and invest in employees for the long term success of their careers and overall company employee goalsqualified candidates are encouraged to apply directly to this job posting åêdirect email and phone calls are not being considered thank you for your cooperation åêplease no recruiters,0.0,1.0,1.0,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
15635.0,technical support specialist,"HK, , Hong Kong",IT,13000-18000,at hayes corp we create the fun stuff åê with a focus on software development for mobile platforms we are constantly looking for talented people that can think outside the box logically and creatively åê whether you define yourself as a coder a marketer or a number cruncher we give you the resources to excel at what you do best åêif you don ûªt see a position you like but think you have what it takes just send your resume toåê email_eaa37b5bf6cd5f435db52ea17edfd1f61c685afdf336f31ca36d3514a139e79e,hayes corp is looking for a candidate with sufficient it skills and knowledge to support the company ûªs rapid growth this position does not involve mobile app development your main responsibility is to support mobile development through certification and codebase management and binary compiling responsibilitiescoordinate codebase and binary fileswork with various departments to ensure apps are launched quicklycompile and upload via xcode and gp ios platformsfixing simple ad hoc coding issuesgithub or bitbucket troubleshooting and management,diploma or above in it computer science or other related disciplines1 year or above experience in technical support roles practical experiences in programming is a great advantageinterest or experience in ios android development platforms knowledge in mainstream codebase management systems git mercurial subversion etc is preferredknowledge in systems technology system driven processesability to work in a highly challenging fast paced and changing environmentattention to detail and an ability to provide strategic insights in delivery and continuous improvementability to communicate effectively and demonstrate ability to deal with ambiguityadaptable flexible open to new ways of thinking and diverse cultures and a positive results orientated attitudefluent in english and chineseåêfresh grads are welcome to apply as long as you have a relevant education certificate,medical insurance provided after probationcompetitive salary and benefitsåêopen working environmenta lot of new technologies involved such as apple google android and so on,0.0,1.0,0.0,Full-time,Entry level,Vocational,Computer Games,Information Technology,0
7005.0,legal services operations and stakeholder engagement,"CA, BC, Vancouver",Head Office,45-65,pardon services canada is a national legal services company established in 1989 we serve as an advocate for canadians with a past criminal record who wish to exercise their rights under the criminal records act of canada and the immigration amp nationality act of the united states to obtain a record suspension formerly called a pardon and us entry waivers also assisting with temporary resident permits and criminal rehabilitation status for americans with a past criminal record,are you our next great employee ideally you have a background in legal services law enforcement parole or some aspect of the criminal justice system åêour company specializes in obtaining record suspensions travel waivers and record purges we help the 13 of canadians with a past criminal record get a fresh start our expertise and experience has made us the leader in this field and we are now celebrating our 25th year position objectives develop the value and operational effectiveness of the processing team in client file administration and the overall cost time required for file management increase pardon services canada s effectiveness in engaging with canadian policy and regulatory stakeholders åêas a member of the management team you would work collaboratively with the president managing director and business development specialist on strategic and business planning business process innovation projects advocacy public relations and communication strategies you would also develop effective working relationships with key stakeholders in government national advocacy organizations and industry partners a team of 5 processing staff members report to and are directed by you the details coach a growing team of record suspension and waiver file management specialists manage team and individual performance by establishing targets and coaching team members in file management and best practices periodic review refinement and documentation of business processes related to managing client files and related services and to support ongoing innovations that reduce time and cost of processing and or increase processing quality identify and lead stakeholder engagement activities which would include working with federal elected officials regulatory managers and policy makers leaders in the legal profession and key national advocacy groups in formal and informal communication advocacy and consensus building programs,ideally you are a lawyer or have a background in legal services legal advocacy law enforcement court systems or regulatory affairs at least five years supervisory experience managing legal documents or application files experience in stakeholder engagement and or advocacy with canadian government officials elected representatives and specialized interest groups qualifications a degree in criminology law or business and or experience in legal services law enforcement parole or some aspect of the criminal justice system superior communication and interpersonal skills computer skills in windows based applications and erp crm systems please forward a cover letter and resume by august 22 2014 at the latest interviews will commence as appropriate candidates apply åêåê,bright friendly office in the marine building with great amenities close to the sky train for an easy commute medical and dental benefits after 3 months employment fantastic colleagues 45k to 65k depending on education and experience,0.0,1.0,1.0,Full-time,Mid-Senior level,Bachelor's Degree,Legal Services,Management,0
3643.0,intern marketing analytics,"US, NY, New York",Marketing,0-0,daily secret is one of the fastest growing digital media brand for premium audiences around the world serving 1 8 million subscribers every day covering over 35 markets its signature daily email newsletters reveal coveted bars restaurants shops and all around local û secrets ûª while integrating brands around passion points headquartered in new york ny and athens greece daily secret is backed by leading media investors such as greycroft partners eventures ronald lauder dick parsons and andy russell to learn more about us visit url_e830679f90409d3a40bc46c9110e3c627418d0bff3a005f2a78539860ed584c2,daily secret is seeking an intern to evaluate user experience through the lens of marketing analytics this role will map out user acquisition channels and landing page conversion rates to recommend product improvements as well as targeted marketing campaigns our ideal candidate is someone with significant experience in media and marketing analytics we ûªre looking for an energetic self starter who is eager to be part of an international fast growing digital media startup you must be results driven have strong analytical skills and be passionate about product this position will be based in new york ny responsibilities map out user acquisition channels and landing page conversion rates across all of daily secret ûªs digital media assets segment daily secret ûªs user base to drive insight on user behavior and user preferences recommend and implement product improvements to improve conversion rates and marketing efficiency recommend and implement targeted marketing campaigns measure the roi of marketing campaigns,strong analytical background previous experience in digital media and marketing analytics highly motivated self starter with excellent presentation creative and analytical skills strong positive leadership presence with a get it done mentality detail oriented with superior writing and verbal communication skills,we offer first hand experience at a fast growing global digital media startupthe opportunity to expand your skill set from traditional to digital mediadaily exposure to readers around the world who are passionate about our secretsintelligent colleagues who take pride in their work 400 week stipend a full fridge and all that jazz,0.0,1.0,1.0,Full-time,Internship,Master's Degree,Internet,Marketing,0
